# Dados DNS Gerados
# Total de domínios: 100
# Formato: domínio -> ip1,ip2,ip3...

rodriguezfigueroaand.com -> 70.143.71.233
ericamcclain.org -> 91.0.196.102,69.255.26.86,112.108.176.251
gonzalezsantosandgar.org -> 116.115.120.25
blakeandsons.com -> 149.198.170.29,124.220.123.53
garciajames.org -> 54.3.94.220,130.199.228.88
herrerafurt.com -> 82.195.110.208
montgomeryhensleyand.net -> 130.238.201.102
recently-digital.com -> 116.161.85.68,196.238.96.187,220.41.254.122
fall-foundation.com -> 27.172.180.136
commercialassociation.edu -> 45.104.144.43,132.145.219.213
newjessica-online.com -> 110.18.63.223
veronicasidecity.com -> 117.48.67.23
meganparsons.edu -> 112.131.123.138,166.107.43.197,121.176.23.197
web-white.org -> 206.132.117.214
difference-center.org -> 153.82.8.116,222.174.234.21
bakerandsons.org -> 184.104.97.23
julie168.com -> 151.42.243.37,114.54.155.88,9.116.93.109
portdanielburghlocal.com -> 166.193.42.206,152.160.7.17,61.244.135.128
kingtrananddunlap.com -> 135.84.208.210
restsociety.com -> 216.137.212.249,186.226.183.173,91.211.49.166
southaaron.org -> 184.109.174.220
month-code.com -> 179.103.183.171,217.140.220.21
eastnathanielcity.org -> 104.2.87.173,159.69.80.225,87.59.19.173
digitalunit.biz -> 197.58.228.251
educationdev.edu -> 69.10.91.1
christopher812.org -> 72.12.117.212
lakethomasregion.com -> 6.30.214.2,14.197.44.73
hickmanltd.org -> 147.243.40.230
carneystadcity.com -> 30.114.147.17
david-walker.biz -> 46.186.51.36,128.117.208.149,67.196.150.120
northrebeccaonline.com -> 210.68.118.162,12.116.164.147
lewisberg.com -> 191.32.30.255
portthomasonline.com -> 38.9.111.21
bill-center.com -> 150.172.207.183,61.227.187.108,209.187.197.52
valdezlucasandbrown.com -> 179.127.33.196,115.11.24.126
westhendersonandrami.biz -> 113.52.198.201,19.34.17.124
brent132.info -> 172.191.0.141
eastrichard-area.biz -> 28.213.82.112,213.68.181.17,56.252.171.137
joseph731.biz -> 29.137.70.253,159.37.159.222
data-clear.com -> 97.189.217.247
foundation-article.org -> 131.230.186.146,177.212.76.69
silvaplc.com -> 213.9.176.92,69.32.139.212
melissajones.edu -> 79.13.148.165
richard286.com -> 130.139.32.159
southdianeshire-area.com -> 12.44.24.166,103.65.185.106
edgeapp.com -> 121.12.9.233,147.51.38.240
cyber-lot.edu -> 36.164.139.224
ellisplc.com -> 198.146.193.54,6.31.33.101
mahoneyinc.com -> 219.211.42.122
code-feel.com -> 108.215.28.54,128.128.44.124
montoyaevansandalvar.com -> 205.19.7.56,120.219.53.173,180.249.109.229
juanborough.org -> 182.131.222.129,144.229.28.185
freemanwhiteheadandm.biz -> 91.27.221.140,172.90.74.41,72.95.89.104
dana171.com -> 189.175.156.121,2.114.143.17,73.138.26.254
johnsonwoodandtran.com -> 17.86.169.123
web-foot.com -> 34.141.163.57,214.184.242.109
lakecurtis.com -> 189.1.11.39
bradyfrostandyoung.org -> 106.213.52.221,208.203.12.199
country-foundation.org -> 186.161.67.104,189.44.193.21
westerik.biz -> 152.123.144.70
monicagarrison.org -> 119.93.102.237
torrespope.info -> 112.96.237.245,153.128.119.116
joshualand.org -> 195.29.210.241,57.148.84.167
sheilavillearea.com -> 216.91.223.249
couldinstitute.com -> 144.253.102.161,91.207.228.131
hairsociety.info -> 186.9.165.3,19.179.94.203,44.42.64.43
williamsgraham.com -> 11.39.14.79,36.122.115.106,201.82.31.245
edwardscharlesandcor.com -> 51.203.81.229
reflectinstitute.gov -> 57.192.237.141,136.37.123.189,99.8.125.81
research-center.com -> 181.145.161.200,147.66.195.70
association-into.com -> 4.0.212.212,45.115.162.16
floydmouthcity.com -> 30.38.44.77,158.72.174.176,162.183.14.82
reason-foundation.net -> 85.115.185.118
better-association.net -> 163.194.5.146
rememberassociation.com -> 44.190.139.122,104.189.74.153,119.154.40.144
atkinsonjonesandperr.com -> 140.113.160.123,188.73.141.54
miss-foundation.com -> 41.113.207.17
institute-reality.com -> 134.210.83.133,183.0.191.32
portsusan.com -> 8.205.177.202,2.124.69.109,30.222.91.127
elizabeth-travis.org -> 156.83.31.125
cheyenne-ball.gov -> 15.34.118.78,223.48.136.113,23.233.99.78
ramirezstricklandand.gov -> 119.9.183.217
chris-mitchell.net -> 125.71.97.241,210.148.23.153,78.204.252.246
aiidentify.info -> 141.177.103.107
caleb.russell.gov -> 7.83.129.113
society-assume.edu -> 103.174.58.26,33.64.2.241,220.44.20.214
institute-me.com -> 86.131.55.95,56.245.138.142,169.107.68.250
appnothing.edu -> 183.14.167.41,24.187.226.214
least-institute.com -> 28.113.132.169
great-center.biz -> 153.224.83.7
porttannerregion.biz -> 65.185.209.126,208.222.5.31
dayandsons.com -> 213.208.185.100,88.67.60.220,61.25.203.54
mark-juarez.com -> 58.250.235.12,120.167.190.116
manycenter.org -> 67.85.94.216,198.22.204.184
aidoor.com -> 130.147.150.220,183.233.190.172
combsplc.com -> 106.5.0.73,19.169.20.14,1.111.153.12
stevenscott.info -> 39.84.129.170,181.61.145.201,194.110.177.112
westbarbarafurtcity.edu -> 44.177.111.98,79.138.216.36
blueassociation.org -> 147.77.33.113
to-association.com -> 135.191.93.186,160.168.56.27
