# Dados DNS Gerados
# Total de domínios: 10000
# Formato: domínio -> ip1,ip2,ip3...

wilsonking.com -> 64.168.77.138,179.246.29.230
harrissantanaandlope.com -> 37.207.84.12
singletonllc.com -> 201.100.47.67
martinmason.org -> 183.189.2.149,9.23.232.148
portbelindatown-local.net -> 11.16.148.33
father-dev.info -> 104.17.187.52,193.50.134.239,223.48.222.147
wolfelopez.com -> 134.222.103.154,98.214.173.24
colemanhaven.com -> 113.206.55.14
davidville-city.net -> 15.238.220.198
digitalsound.com -> 50.115.9.79
onto-data.com -> 178.161.198.113,39.103.255.201
campbellportlocal.com -> 156.105.197.224,118.132.58.92
association-fill.com -> 197.182.59.149,96.142.143.62
want-web.com -> 171.231.23.209,206.240.133.29
northyolandaregion.com -> 19.93.145.110
individual-association.com -> 18.184.94.82
eastralphshire.com -> 192.213.152.184,76.189.212.212
jamesfurtlocal.com -> 91.46.90.139,184.233.159.69
southern-foundation.com -> 184.188.49.110
katelynowen.com -> 206.217.73.139,28.241.51.178
dixonhernandez.com -> 19.232.251.32,119.244.213.91
ml-during.com -> 136.157.108.120,67.97.239.28
thenfoundation.com -> 65.182.64.240,195.135.208.240
sheltonhernandezandh.info -> 68.229.168.162
recentsys.com -> 191.192.0.5,163.59.28.202
association-finally.info -> 159.96.67.8,13.127.115.30
foundation-table.com -> 208.144.193.125
ewinginc.edu -> 52.33.188.225
melissaramos.com -> 75.81.211.19
apponto.com -> 147.101.21.13
martin768.com -> 25.255.171.111
freemanvillecity.com -> 159.101.59.103,158.17.129.29
hartmoore.com -> 80.219.101.222
miss-data.org -> 152.45.214.106,150.147.174.124
luketown-region.info -> 136.52.101.163,174.202.127.233
tablecenter.net -> 176.220.93.12,186.235.146.205
husband-association.org -> 86.22.210.197
robertton-city.biz -> 143.216.232.25,116.254.92.19
persontech.biz -> 68.49.39.231,211.169.191.182
geoffreyside-local.com -> 61.127.138.21,155.9.204.90,154.244.126.9
josephdominguez.net -> 148.65.197.81,56.250.176.40,38.65.35.41
association-system.org -> 22.150.205.11,53.187.3.149,108.202.214.108
michael97.com -> 18.105.7.246
though-association.com -> 168.109.155.232,35.10.192.249,57.186.208.236
weberinc.org -> 179.8.14.200,145.126.207.162
carlos-solis.net -> 22.182.46.231
lauraportonline.org -> 12.204.109.103
alvaradomouth.net -> 103.155.244.200,119.64.108.163,139.142.246.218
uponcenter.com -> 75.240.65.0,141.161.4.206,157.232.42.159
little669.info -> 166.240.137.21,204.122.163.60
nearly-tech.com -> 103.217.150.28
eastedward-local.com -> 147.55.183.118
jenkinsdalton.org -> 214.131.140.37,171.17.87.88,173.72.224.109
establishsoft.com -> 143.28.192.78
codeinto.com -> 114.102.62.209,97.246.246.28
marshallcastro.com -> 17.47.34.116
data-defense.net -> 106.46.209.226
anthony.clarke.com -> 124.180.53.120,130.179.239.98
tucker631.com -> 69.95.26.4
formerdigital.com -> 132.17.184.247,221.6.51.56
watch-center.com -> 37.199.148.10,40.254.240.7
rodriguezltd.net -> 9.238.38.243
nearlyassociation.org -> 144.29.159.136,18.227.81.108
john-martinez.com -> 165.68.193.77,175.30.158.116
manningwallsandrobin.com -> 77.179.244.181
scottview-local.com -> 209.202.36.16,27.253.149.77
frystewartandcoleman.com -> 145.198.99.215,212.163.29.129
institute-him.com -> 27.196.133.45
andrewtoncity.com -> 170.55.252.6,143.86.217.77
johnnycruz.com -> 151.57.4.146,211.231.221.76,11.200.56.97
pricefurt-online.com -> 216.45.84.254
christopherbury.com -> 42.65.41.181,218.38.95.205,221.0.81.103
hillinc.com -> 175.238.252.36
market-foundation.com -> 186.165.169.12,179.54.112.195,174.22.119.122
app-move.com -> 90.239.138.245,148.233.197.198
society-long.com -> 131.85.150.72
lakescottregion.info -> 128.50.100.220
richard-fuller.com -> 37.67.74.58
daniel-wright.com -> 180.41.184.177
sparksmouth.org -> 20.69.182.89,122.158.226.125,163.45.186.2
perryandsons.info -> 56.38.2.229,205.203.191.233,65.120.87.139
sandra156.org -> 133.177.202.198
datamaintain.com -> 97.89.156.185,91.115.39.24
plan-web.com -> 120.182.101.192
susan.jackson.edu -> 128.231.66.52
ayalamouth-local.biz -> 175.244.4.104,77.0.85.111,98.33.46.245
snyder956.info -> 77.57.8.47
portjustinarea.com -> 154.197.239.93
henry-sparks.gov -> 80.193.82.140,119.55.51.85
web-whatever.net -> 119.84.163.228,94.2.40.1,84.176.15.230
room-institute.com -> 45.148.249.98
ericksonview-area.org -> 67.194.153.20,79.7.164.102
odonnellton.org -> 88.97.72.106
code-five.net -> 192.239.121.176
cloud-cause.com -> 194.42.28.171
whitejacksonandvasqu.com -> 61.245.26.58,84.78.237.151,155.181.30.155
change-society.net -> 122.129.147.127,72.47.11.232,24.253.245.16
julie68.edu -> 126.134.196.76,144.225.104.248
nation-society.com -> 42.143.24.77,63.113.11.196,180.215.41.42
brownbergregion.com -> 75.184.150.98,80.167.130.111
laketannerarea.com -> 95.172.158.64,86.209.57.187,197.240.216.36
vasquezsingleton.com -> 211.244.249.187,45.9.249.25
whitejackson.gov -> 12.93.90.172
newwhitneyregion.com -> 75.142.112.166
knappsanchez.com -> 19.4.140.98,208.212.174.157
feelcenter.com -> 135.206.179.26
brookshickman.org -> 84.180.218.37,105.76.8.246,31.90.249.18
sys-long.com -> 145.60.131.101,128.95.29.113
williams600.com -> 156.255.159.135,40.70.200.58
techdevelopment.com -> 217.13.245.145,35.141.226.193,188.52.90.194
christopherscott.com -> 118.97.247.17,77.83.133.123
frankchan.com -> 41.221.87.167,95.106.1.140
foundation-suddenly.net -> 25.236.89.147,212.51.128.25
elizabethstad.com -> 15.213.126.246
hughes344.gov -> 123.98.114.212,91.10.213.224,162.251.80.64
ryan.simmons.net -> 85.223.37.197
center-major.net -> 137.236.169.112,204.171.248.132
kelly.kim.biz -> 223.72.151.160
firstfoundation.com -> 106.11.109.67,147.57.229.53
millsllc.org -> 132.229.232.167,211.113.185.4
william603.com -> 24.27.177.18,37.59.182.97
northjoymouth.com -> 106.234.83.18,170.46.88.77
southnancyport.com -> 61.30.176.140
sometimes-foundation.edu -> 144.246.250.144,43.250.243.12
eastchristian-city.info -> 197.9.138.146
codetry.org -> 155.195.92.138,8.23.243.25
wilsonburgharea.com -> 157.115.79.151,159.38.118.27
christinestad.com -> 153.71.162.124
summer-society.net -> 40.1.119.95,76.54.25.243,65.4.67.141
wallertrevinoandclar.com -> 143.121.83.184
center-least.com -> 170.195.127.20
christophercarrillo.org -> 110.192.4.111,74.161.120.236,222.63.158.92
ruizmouth-online.net -> 140.226.186.139,57.18.40.245
society-approach.edu -> 38.146.10.0
pettyfort-area.info -> 185.78.6.102,89.148.92.254
data-mention.com -> 15.206.113.204
lakebrucelocal.com -> 84.54.227.141
brownorozcoandbutler.com -> 31.213.79.82,150.49.98.29
terrysmith.net -> 44.77.6.174
cooperbury-region.com -> 13.109.43.177
sandra.castaneda.org -> 190.253.175.27
wareltd.com -> 154.173.218.16,174.225.205.171
